F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0    72     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    73     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    74     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    75     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    76     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    77     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    78     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    79     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    80     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    81     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    82     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    83     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    84     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    85     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    87     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    88     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    94     2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 S     0   107     2  0  60 -20 -     0 -      ?        00:00:00 deferwq
1 S     0   108     2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 S     0   151     2  0  60 -20 -     0 -      ?        00:00:00 kpsmoused
1 S     0   153     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 S     0   154     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0   155     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 S     0   156     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0   157     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 S     0   158     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0   159     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 S     0   160     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_3
1 S     0   163     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:5
1 S     0   169     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   170     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   174     2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H
1 S     0   177     2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H
1 S     0   178     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
1 S     0   254     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   285     2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:1H
1 S     0   287     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda7-8
1 S     0   288     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0   325     1  0  80   0 -  8845 -      ?        00:00:00 systemd-journal
1 S     0   339     2  0  80   0 -     0 -      ?        00:00:00 kauditd
4 S     0   366     1  0  80   0 - 23694 -      ?        00:00:00 lvmetad
4 S     0   373     1  0  80   0 - 11542 -      ?        00:00:00 systemd-udevd
1 S     0   392     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   444     2  0   9   - -     0 -      ?        00:00:00 irq/30-DLLC6AE:
1 S     0   453     2  0   9   - -     0 -      ?        00:00:00 irq/47-mei_me
1 S     0   491     2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
1 S     0   501     2  0   9   - -     0 -      ?        00:00:00 irq/50-iwlwifi
1 S     0   589     2  0  60 -20 -     0 -      ?        00:00:00 kworker/u9:0
1 S     0   590     2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0   591     2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0   593     2  0  60 -20 -     0 -      ?        00:00:00 kworker/u9:1
1 S     0   614     2  0  60 -20 -     0 -      ?        00:00:00 kvm-irqfd-clean
1 S     0   653     2  0  60 -20 -     0 -      ?        00:00:00 kmemstick
1 S     0   654     2  0  80   0 -     0 -      ?        00:00:00 rtsx_usb_ms_1
4 S   104   807     1  0  80   0 - 64100 -      ?        00:00:00 rsyslogd
4 S     0   808     1  0  80   0 -  7471 -      ?        00:00:00 cgmanager
4 S     0   810     1  0  80   0 -  8030 -      ?        00:00:00 bluetoothd
4 S     0   813     1  0  80   0 -  7254 -      ?        00:00:00 cron
4 S   110   816     1  0  80   0 - 11231 -      ?        00:00:00 avahi-daemon
4 S     0   819     1  0  80   0 - 68969 -      ?        00:00:00 accounts-daemon
4 S   106   820     1  0  80   0 - 11032 -      ?        00:00:00 dbus-daemon
1 S   110   827   816  0  80   0 - 11198 -      ?        00:00:00 avahi-daemon
4 S     0   840     1  0  80   0 - 84349 -      ?        00:00:00 ModemManager
4 S     0   845     1  0  80   0 - 112309 -     ?        00:00:00 NetworkManager
4 S     0   848     1  0  80   0 - 41612 -      ?        00:00:00 thermald
4 S     0   854     1  0  80   0 -  7169 -      ?        00:00:00 systemd-logind
4 S     0   860     1  0  80   0 - 23311 -      ?        00:00:00 cupsd
4 S     0   862     1  0  80   0 - 68706 -      ?        00:00:00 cups-browsed
0 S     0   872     1  0  80   0 -  1101 -      ?        00:00:00 acpid
5 S     0   968     1  0  80   0 -  4893 -      ?        00:00:00 irqbalance
4 S     0  1004     1  0  80   0 - 69764 -      ?        00:00:00 polkitd
4 S     7  1020   860  0  80   0 - 20312 -      ?        00:00:00 dbus
4 S     0  1053     1  0  80   0 - 10921 -      ?        00:00:00 wpa_supplicant
4 S     0  1106   845  0  80   0 -  4031 -      ?        00:00:00 dhclient
4 S 65534  1117   845  0  80   0 - 13219 -      ?        00:00:00 dnsmasq
5 S   108  1226     1  0  80   0 - 28024 -      ?        00:00:00 ntpd
4 S     0  1227     1  0  80   0 -  3987 -      tty1     00:00:00 agetty
4 S     0  1230     1  0  80   0 - 35340 -      ?        00:00:00 mdm
5 S     0  1245  1230  0  80   0 - 48458 -      ?        00:00:00 mdm
4 S     0  1251  1245  1  80   0 - 95689 -      tty8     00:00:20 Xorg
1 S   121  1341     1  0  80   0 - 10901 -      ?        00:00:00 dbus-launch
1 S   121  1342     1  0  80   0 - 10693 -      ?        00:00:00 dbus-daemon
4 S  1000  1683     1  0  80   0 - 11343 ep_pol ?        00:00:00 systemd
5 S  1000  1685  1683  0  80   0 - 45015 -      ?        00:00:00 (sd-pam)
5 S  1000  1692     1  0  80   0 - 52211 -      ?        00:00:00 gnome-keyring-d
4 S     0  1696     1  0  80   0 - 525031 -     ?        00:00:00 console-kit-dae
4 S  1000  1770  1245  0  80   0 - 109058 poll_s ?       00:00:00 cinnamon-sessio
1 S  1000  1838  1770  0  80   0 -  2786 -      ?        00:00:00 ssh-agent
1 S  1000  1841     1  0  80   0 - 10901 poll_s ?        00:00:00 dbus-launch
1 S  1000  1842     1  0  80   0 - 10866 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1855     1  0  80   0 - 84488 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1860  1855  0  80   0 - 10726 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1862     1  0  80   0 - 51718 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1870  1770  0  80   0 - 275731 poll_s ?       00:00:00 cinnamon-settin
1 S  1000  1889     1  0  69 -11 - 127247 poll_s ?       00:00:00 pulseaudio
4 S   118  1890     1  0  81   1 - 45887 -      ?        00:00:00 rtkit-daemon
4 S     0  1892     1  0  80   0 - 86829 -      ?        00:00:00 upowerd
0 S  1000  1916     1  0  80   0 - 68633 poll_s ?        00:00:00 gvfsd
0 S  1000  1921     1  0  80   0 - 101717 futex_ ?       00:00:00 gvfsd-fuse
5 S     0  1936     2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
0 S  1000  1940     1  0  80   0 - 44699 poll_s ?        00:00:00 dconf-service
0 S  1000  1944     1  0  80   0 - 71364 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1947     1  0  80   0 - 92013 -      ?        00:00:00 udisksd
0 S  1000  1956     1  0  80   0 - 64386 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1961     1  0  80   0 - 64884 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1966     1  0  80   0 - 100904 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000  1972     1  0  80   0 - 67965 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1977  1770  0  80   0 - 48147 wait   ?        00:00:00 cinnamon-launch
4 S   112  1978     1  0  80   0 - 75294 -      ?        00:00:00 colord
0 S  1000  1979  1870  0  80   0 -  5594 poll_s ?        00:00:00 syndaemon
0 S  1000  1981     1  0  80   0 - 127215 poll_s ?       00:00:00 csd-printer
0 S  1000  1991  1977  1  80   0 - 444053 poll_s ?       00:00:18 cinnamon
0 S  1000  2001  1770  0  80   0 - 83045 poll_s ?        00:00:00 polkit-gnome-au
0 S  1000  2003  1770  0  80   0 - 306440 poll_s ?       00:00:01 nemo
0 S  1000  2004  1770  0  80   0 - 131831 poll_s ?       00:00:00 nm-applet
0 S  1000  2007  1770  0  80   0 - 104604 poll_s ?       00:00:00 cinnamon-killer
0 S  1000  2013  1770  0  80   0 -  6138 wait   ?        00:00:00 blueberry-tray
0 S  1000  2017  2013  0  80   0 -  1128 wait   ?        00:00:00 sh
0 S  1000  2018  2017  0  80   0 - 158577 poll_s ?       00:00:00 python2
0 S  1000  2026  2018  0  80   0 -  1092 poll_s ?        00:00:00 rfkill
0 S  1000  2044     1  0  80   0 - 46547 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  2048     1  0  80   0 - 87646 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  2126  1770  0  80   0 - 103186 poll_s ?       00:00:00 cinnamon-screen
0 S  1000  2127  1770  0  80   0 -  7519 wait   ?        00:00:00 mintupdate-laun
0 S  1000  2138  2127  0  80   0 -  1128 wait   ?        00:00:00 sh
0 S  1000  2139  2138  0  80   0 - 179286 poll_s ?       00:00:00 mintUpdate
0 S  1000  2160  1770  0  80   0 - 58994 poll_s ?        00:00:00 applet.py
0 S  1000  2216     1  0  80   0 - 15296 poll_s ?        00:00:00 gconfd-2
1 S     0  2377     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:1
1 S     0  2475     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:0
1 S     0  2530     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1
1 S     0  2681     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:1
0 S  1000  2683     1  0  80   0 - 88225 poll_s ?        00:00:00 gvfsd-network
1 S     0  2710     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2
1 S     0  2720     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 S     0  2721     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:3
0 S  1000  2734     1  0  80   0 - 90432 poll_s ?        00:00:00 gvfsd-dnssd
0 S  1000  2750     1  0  80   0 - 123532 poll_s ?       00:00:01 gnome-terminal-
0 S  1000  2754  2750  0  80   0 -  5777 wait   pts/0    00:00:00 bash
0 S  1000  2782  2750  0  80   0 -  5758 wait_w pts/1    00:00:00 bash
1 S     0  2827     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:1
1 S     0  2918     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:2
1 S     0  2953     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0
1 S     0  2993     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0
1 S     0  2994     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:2
1 S     0  3019     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0
0 R  1000  3047  2754  0  80   0 -  7231 -      pts/0    00:00:00 ps
