F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 - 46349 -      ?        00:00:01 systemd
1 S     0     2     0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H
1 S     0     7     2  0  80   0 -     0 -      ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 -      ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 -      ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 -      ?        00:00:00 watchdog/0
5 S     0    11     2  0 -40   - -     0 -      ?        00:00:00 watchdog/1
1 S     0    12     2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0    13     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 S     0    15     2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H
5 S     0    16     2  0 -40   - -     0 -      ?        00:00:00 watchdog/2
1 S     0    17     2  0 -40   - -     0 -      ?        00:00:00 migration/2
1 S     0    18     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/2
1 S     0    20     2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H
5 S     0    21     2  0 -40   - -     0 -      ?        00:00:00 watchdog/3
1 S     0    22     2  0 -40   - -     0 -      ?        00:00:00 migration/3
1 S     0    23     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/3
1 S     0    25     2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H
5 S     0    26     2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 S     0    27     2  0  60 -20 -     0 -      ?        00:00:00 netns
1 S     0    28     2  0  60 -20 -     0 -      ?        00:00:00 perf
1 S     0    29     2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0    30     2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0    31     2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0    32     2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 S     0    33     2  0  60 -20 -     0 -      ?        00:00:00 crypto
1 S     0    34     2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 S     0    35     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    36     2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 S     0    37     2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 S     0    38     2  0  60 -20 -     0 -      ?        00:00:00 md
1 S     0    39     2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0    44     2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0    45     2  0  60 -20 -     0 -      ?        00:00:00 vmstat
1 S     0    46     2  0  80   0 -     0 -      ?        00:00:00 fsnotify_mark
1 S     0    47     2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 S     0    62     2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 S     0    63     2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0    64     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    65     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    66     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    67     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    68     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    69     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    70     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    71     2  0  60 -20 -     0 -      ?        00:00:00 bioset
